"REF_DATE","GEO","price_indexes","house_price"
"1981-02","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","56.2"
"1981-02","Saint John, Fredericton, and Moncton, New Brunswick","House only","62.1"
"1981-02","Saint John, Fredericton, and Moncton, New Brunswick","Land only","38.0"
"1981-02","Quebec","Total (house and land)",""
"1981-02","Quebec","House only",""
"1981-02","Quebec","Land only",""
"1981-02","Québec, Quebec","Total (house and land)","30.6"
"1981-02","Québec, Quebec","House only","35.4"
"1981-02","Québec, Quebec","Land only","20.3"
"1981-02","Sherbrooke, Quebec","Total (house and land)",""
"1981-02","Sherbrooke, Quebec","House only",""
"1981-02","Sherbrooke, Quebec","Land only",""
"1981-02","Trois-Rivières, Quebec","Total (house and land)",""
"1981-02","Trois-Rivières, Quebec","House only",""
"1981-02","Trois-Rivières, Quebec","Land only",""
"1981-02","Montréal, Quebec","Total (house and land)","28.8"
"1981-02","Montréal, Quebec","House only","30.2"
"1981-02","Montréal, Quebec","Land only","20.7"
"1981-02","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1981-02","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1981-02","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
"1981-02","Ontario","Total (house and land)",""
"1981-02","Ontario","House only",""
"1981-02","Ontario","Land only",""
"1981-02","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Total (house and land)","32.6"
"1981-02","Ottawa-Gatineau, Ontario part, Ontario/Quebec","House only","30.8"
"1981-02","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Land only","39.9"
"1981-02","Oshawa, Ontario","Total (house and land)",""
"1981-02","Oshawa, Ontario","House only",""
"1981-02","Oshawa, Ontario","Land only",""
"1981-02","Toronto, Ontario","Total (house and land)","28.5"
"1981-02","Toronto, Ontario","House only","23.2"
"1981-02","Toronto, Ontario","Land only","39.3"
"1981-02","Hamilton, Ontario","Total (house and land)","30.4"
"1981-02","Hamilton, Ontario","House only","24.9"
"1981-02","Hamilton, Ontario","Land only","46.0"
"1981-02","St. Catharines-Niagara, Ontario","Total (house and land)","30.8"
"1981-02","St. Catharines-Niagara, Ontario","House only","28.6"
"1981-02","St. Catharines-Niagara, Ontario","Land only","35.6"
"1981-02","Kitchener-Cambridge-Waterloo, Ontario","Total (house and land)","34.1"
"1981-02","Kitchener-Cambridge-Waterloo, Ontario","House only","30.5"
"1981-02","Kitchener-Cambridge-Waterloo, Ontario","Land only","43.5"
"1981-02","Guelph, Ontario","Total (house and land)",""
"1981-02","Guelph, Ontario","House only",""
"1981-02","Guelph, Ontario","Land only",""
"1981-02","London, Ontario","Total (house and land)","32.3"
"1981-02","London, Ontario","House only","27.5"
"1981-02","London, Ontario","Land only","51.4"
"1981-02","Windsor, Ontario","Total (house and land)","61.2"
"1981-02","Windsor, Ontario","House only","64.9"
"1981-02","Windsor, Ontario","Land only","47.5"
"1981-02","Greater Sudbury, Ontario","Total (house and land)","55.4"
"1981-02","Greater Sudbury, Ontario","House only","55.6"
"1981-02","Greater Sudbury, Ontario","Land only","52.1"
"1981-02","Prairie Region","Total (house and land)",""
"1981-02","Prairie Region","House only",""
"1981-02","Prairie Region","Land only",""
"1981-02","Manitoba","Total (house and land)",""
"1981-02","Manitoba","House only",""
"1981-02","Manitoba","Land only",""
"1981-02","Winnipeg, Manitoba","Total (house and land)","26.9"
"1981-02","Winnipeg, Manitoba","House only","29.7"
"1981-02","Winnipeg, Manitoba","Land only","18.7"
"1981-02","Saskatchewan","Total (house and land)",""
"1981-02","Saskatchewan","House only",""
"1981-02","Saskatchewan","Land only",""
"1981-02","Regina, Saskatchewan","Total (house and land)","20.2"
"1981-02","Regina, Saskatchewan","House only","21.2"
"1981-02","Regina, Saskatchewan","Land only","17.1"
"1981-02","Saskatoon, Saskatchewan","Total (house and land)","33.0"
"1981-02","Saskatoon, Saskatchewan","House only","35.8"
"1981-02","Saskatoon, Saskatchewan","Land only","26.0"
"1981-02","Alberta","Total (house and land)",""
"1981-02","Alberta","House only",""
"1981-02","Alberta","Land only",""
"1981-02","Calgary, Alberta","Total (house and land)","25.5"
"1981-02","Calgary, Alberta","House only","28.1"
"1981-02","Calgary, Alberta","Land only","19.6"
"1981-02","Edmonton, Alberta","Total (house and land)","36.1"
"1981-02","Edmonton, Alberta","House only","36.8"
"1981-02","Edmonton, Alberta","Land only","32.9"
"1981-02","British Columbia","Total (house and land)",""
"1981-02","British Columbia","House only",""
"1981-02","British Columbia","Land only",""
"1981-02","Kelowna, British Columbia","Total (house and land)",""
"1981-02","Kelowna, British Columbia","House only",""
"1981-02","Kelowna, British Columbia","Land only",""
"1981-02","Vancouver, British Columbia","Total (house and land)","92.2"
"1981-02","Vancouver, British Columbia","House only","97.5"
"1981-02","Vancouver, British Columbia","Land only","85.3"
"1981-02","Victoria, British Columbia","Total (house and land)","130.1"
"1981-02","Victoria, British Columbia","House only","209.1"
"1981-02","Victoria, British Columbia","Land only","50.9"
"1981-03","Canada","Total (house and land)","39.3"
"1981-03","Canada","House only","37.3"
"1981-03","Canada","Land only","41.1"
"1981-03","Atlantic Region","Total (house and land)",""
"1981-03","Atlantic Region","House only",""
"1981-03","Atlantic Region","Land only",""
"1981-03","Newfoundland and Labrador","Total (house and land)",""
"1981-03","Newfoundland and Labrador","House only",""
"1981-03","Newfoundland and Labrador","Land only",""
"1981-03","St. John's, Newfoundland and Labrador","Total (house and land)","36.2"
"1981-03","St. John's, Newfoundland and Labrador","House only","37.5"
"1981-03","St. John's, Newfoundland and Labrador","Land only","31.8"
"1981-03","Prince Edward Island","Total (house and land)",""
"1981-03","Prince Edward Island","House only",""
"1981-03","Prince Edward Island","Land only",""
"1981-03","Charlottetown, Prince Edward Island","Total (house and land)",""
"1981-03","Charlottetown, Prince Edward Island","House only",""
"1981-03","Charlottetown, Prince Edward Island","Land only",""
"1981-03","Nova Scotia","Total (house and land)",""
"1981-03","Nova Scotia","House only",""
"1981-03","Nova Scotia","Land only",""
"1981-03","Halifax, Nova Scotia","Total (house and land)",""
"1981-03","Halifax, Nova Scotia","House only",""
"1981-03","Halifax, Nova Scotia","Land only","32.5"
"1981-03","New Brunswick","Total (house and land)",""
"1981-03","New Brunswick","House only",""
"1981-03","New Brunswick","Land only",""
"1981-03","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","56.2"
"1981-03","Saint John, Fredericton, and Moncton, New Brunswick","House only","62.1"
"1981-03","Saint John, Fredericton, and Moncton, New Brunswick","Land only","38.0"
"1981-03","Quebec","Total (house and land)",""
"1981-03","Quebec","House only",""
"1981-03","Quebec","Land only",""
"1981-03","Québec, Quebec","Total (house and land)","30.6"
"1981-03","Québec, Quebec","House only","35.4"
"1981-03","Québec, Quebec","Land only","20.6"
"1981-03","Sherbrooke, Quebec","Total (house and land)",""
"1981-03","Sherbrooke, Quebec","House only",""
"1981-03","Sherbrooke, Quebec","Land only",""
"1981-03","Trois-Rivières, Quebec","Total (house and land)",""
"1981-03","Trois-Rivières, Quebec","House only",""
"1981-03","Trois-Rivières, Quebec","Land only",""
"1981-03","Montréal, Quebec","Total (house and land)","29.0"
"1981-03","Montréal, Quebec","House only","30.5"
"1981-03","Montréal, Quebec","Land only","21.0"
"1981-03","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1981-03","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1981-03","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
"1981-03","Ontario","Total (house and land)",""
"1981-03","Ontario","House only",""
"1981-03","Ontario","Land only",""
"1981-03","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Total (house and land)","33.6"
"1981-03","Ottawa-Gatineau, Ontario part, Ontario/Quebec","House only","31.9"
"1981-03","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Land only","40.6"
"1981-03","Oshawa, Ontario","Total (house and land)",""
"1981-03","Oshawa, Ontario","House only",""
"1981-03","Oshawa, Ontario","Land only",""
"1981-03","Toronto, Ontario","Total (house and land)","29.8"
"1981-03","Toronto, Ontario","House only","24.8"
"1981-03","Toronto, Ontario","Land only","39.5"
"1981-03","Hamilton, Ontario","Total (house and land)","30.7"
"1981-03","Hamilton, Ontario","House only","25.3"
"1981-03","Hamilton, Ontario","Land only","46.0"
"1981-03","St. Catharines-Niagara, Ontario","Total (house and land)","30.8"
"1981-03","St. Catharines-Niagara, Ontario","House only","28.6"
"1981-03","St. Catharines-Niagara, Ontario","Land only","35.6"
"1981-03","Kitchener-Cambridge-Waterloo, Ontario","Total (house and land)","34.2"
"1981-03","Kitchener-Cambridge-Waterloo, Ontario","House only","30.7"
"1981-03","Kitchener-Cambridge-Waterloo, Ontario","Land only","43.5"
"1981-03","Guelph, Ontario","Total (house and land)",""
"1981-03","Guelph, Ontario","House only",""
"1981-03","Guelph, Ontario","Land only",""
"1981-03","London, Ontario","Total (house and land)","32.8"
"1981-03","London, Ontario","House only","28.2"
"1981-03","London, Ontario","Land only","51.4"
"1981-03","Windsor, Ontario","Total (house and land)","60.7"
"1981-03","Windsor, Ontario","House only","64.1"
"1981-03","Windsor, Ontario","Land only","47.5"
"1981-03","Greater Sudbury, Ontario","Total (house and land)","55.4"
"1981-03","Greater Sudbury, Ontario","House only","55.6"
"1981-03","Greater Sudbury, Ontario","Land only","52.1"
"1981-03","Prairie Region","Total (house and land)",""
"1981-03","Prairie Region","House only",""
"1981-03","Prairie Region","Land only",""
"1981-03","Manitoba","Total (house and land)",""
"1981-03","Manitoba","House only",""
"1981-03","Manitoba","Land only",""
"1981-03","Winnipeg, Manitoba","Total (house and land)","27.3"
"1981-03","Winnipeg, Manitoba","House only","30.3"
"1981-03","Winnipeg, Manitoba","Land only","18.7"
"1981-03","Saskatchewan","Total (house and land)",""
"1981-03","Saskatchewan","House only",""
"1981-03","Saskatchewan","Land only",""
"1981-03","Regina, Saskatchewan","Total (house and land)","20.6"
